long_threshold,short_threshold,max_single_weight,top_n_long,target_annual_vol,objective,annualized_return,sharpe,max_drawdown,win_rate
0.04,0.07,0.25,4,0.35,0.18469562738434706,0.05629904230872662,0.16780591469172906,0.11801718946586714,0.4888888888888889
0.04,0.07,0.3,2,0.25,-0.830017516890731,-0.21926582678717865,-0.7642377688545774,0.13910653409407658,0.5
0.04,0.07,0.3,2,0.3,-1.0081522574929174,-0.28325599810062596,-0.9231754580627295,0.15575412362688157,0.5
0.04,0.07,0.3,2,0.35,-1.0117351468236626,-0.2883561661626146,-0.9252282969748783,0.1581980119128219,0.5
0.04,0.07,0.3,3,0.25,-1.6719958258995706,-0.48018392217655925,-1.5279406492466028,0.18984681461638397,0.4666666666666667
0.04,0.07,0.3,3,0.3,-1.8405797737136569,-0.5648531901469369,-1.6711238166695759,0.22892239293263617,0.4666666666666667
0.04,0.07,0.3,3,0.35,-1.7601950517440585,-0.5656634604921212,-1.5904960135964221,0.2351386618226472,0.4666666666666667
0.04,0.07,0.3,4,0.25,0.19082130350294363,0.05545215665236247,0.1741856565072349,0.116981445534309,0.5111111111111111
0.04,0.07,0.3,4,0.3,0.2579312093262114,0.08068377976627383,0.23372607539632925,0.12814505810780996,0.5111111111111111
0.04,0.07,0.3,4,0.35,0.19273852205364775,0.06318865370634019,0.17378192594174569,0.13322650252321888,0.5111111111111111
0.04,0.08,0.2,2,0.25,-0.7722129288787187,-0.1571434743981297,-0.7250698865592798,0.10026927387229212,0.5
0.04,0.08,0.2,2,0.3,-0.7883445242170997,-0.16063223974111895,-0.740154852294764,0.10026927387229212,0.5
0.04,0.08,0.2,2,0.35,-0.7883445242170997,-0.16063223974111895,-0.740154852294764,0.10026927387229212,0.5
0.04,0.08,0.2,3,0.25,-1.4944367827058647,-0.3605858108734611,-1.3862610394438264,0.14384334933247378,0.4666666666666667
0.04,0.08,0.2,3,0.3,-1.5656021022610556,-0.3856298524948074,-1.4499131465126134,0.14695282335703308,0.4666666666666667
0.04,0.08,0.2,3,0.35,-1.566909199914851,-0.38598586742990637,-1.4511134396858791,0.14695282335703308,0.4666666666666667
0.04,0.08,0.2,4,0.25,0.9045650372970793,0.2274817718358917,0.8363205057463118,0.07627910070795552,0.5333333333333333
0.04,0.08,0.2,4,0.3,0.830866941642571,0.2189014492440744,0.7651965068693487,0.07565328939020988,0.5333333333333333
0.04,0.08,0.2,4,0.35,0.8015304409535491,0.21315341788194653,0.7375844155889651,0.07721309521791475,0.5333333333333333
0.04,0.08,0.25,2,0.25,-0.768679520098459,-0.18645693934575758,-0.7127424382947317,0.12118906102919202,0.5
0.04,0.08,0.25,2,0.3,-0.7470455844434881,-0.18512046886591815,-0.6915094437837127,0.12335028276084603,0.5
0.04,0.08,0.25,2,0.35,-0.7696168107282452,-0.1910306331200471,-0.7123076207922311,0.12335028276084603,0.5
0.04,0.08,0.25,3,0.25,-1.493322839853403,-0.4043424972454769,-1.37202009067976,0.16378890137717284,0.4777777777777778
0.04,0.08,0.25,3,0.3,-1.442913947910745,-0.4165966894059956,-1.3179349410889463,0.1717055935683226,0.4777777777777778
0.04,0.08,0.25,3,0.35,-1.4313368765008874,-0.4233248553280424,-1.3043394199024747,0.17542477094658981,0.4777777777777778
0.04,0.08,0.25,4,0.25,0.2599958843663618,0.07162762454265703,0.23850759700356466,0.104425717262567,0.4888888888888889
0.04,0.08,0.25,4,0.3,0.21443667176595743,0.06305232129886251,0.19552097537629867,0.1096371070641845,0.4888888888888889
0.04,0.08,0.25,4,0.35,0.2645393638415286,0.08059258178880668,0.2403615893048866,0.11105261453133253,0.4888888888888889
0.04,0.08,0.3,2,0.25,-0.7598092834704063,-0.20047869228692594,-0.6996656757843286,0.13178158844429388,0.5
0.04,0.08,0.3,2,0.3,-0.9454204184909176,-0.26489557201798275,-0.8659517468855228,0.14895846141938618,0.5
0.04,0.08,0.3,2,0.35,-0.9492097802541133,-0.2699588439076879,-0.8682221270818069,0.15145917387633823,0.5
0.04,0.08,0.3,3,0.25,-1.6497343592433353,-0.473307402917173,-1.5077421383681835,0.18587724679148165,0.4666666666666667
0.04,0.08,0.3,3,0.3,-1.7437286795387508,-0.5359315223748595,-1.582949222826293,0.21411848369797948,0.4666666666666667
0.04,0.08,0.3,3,0.35,-1.7319665688315187,-0.5555412933483106,-1.5653041808270256,0.23046347700763703,0.4666666666666667
0.04,0.08,0.3,4,0.25,0.249725590901797,0.07256269483223532,0.2279567824521264,0.11093095320817437,0.5111111111111111
0.04,0.08,0.3,4,0.3,0.33653489589881047,0.10520401515272537,0.30497369135299285,0.12143142538670981,0.5111111111111111
0.04,0.08,0.3,4,0.35,0.2833141961665276,0.09281453933789452,0.25546983436515924,0.12554347811027944,0.5111111111111111
0.05,0.06,0.2,2,0.25,-0.9409162801449157,-0.192205114187193,-0.8832547458887577,0.11179765628728322,0.5
0.05,0.06,0.2,2,0.3,-0.9559301093218389,-0.1955127646131649,-0.8972762799378894,0.11179765628728322,0.5
0.05,0.06,0.2,2,0.35,-0.9559301093218389,-0.1955127646131649,-0.8972762799378894,0.11179765628728322,0.5
0.05,0.06,0.2,3,0.25,-1.5921564859566857,-0.38389282239200273,-1.476988639239085,0.15322315853893997,0.4666666666666667
0.05,0.06,0.2,3,0.3,-1.6620293740986627,-0.4092671194167494,-1.5392492382736378,0.1572159326759297,0.4666666666666667
0.05,0.06,0.2,3,0.35,-1.6627264413670404,-0.40945538765402856,-1.5398898250708317,0.1572159326759297,0.4666666666666667
0.05,0.06,0.2,4,0.25,0.6788196599130769,0.17011937555319645,0.627783847247118,0.0893799162503357,0.5333333333333333
0.05,0.06,0.2,4,0.3,0.5968548214754494,0.15635450698898778,0.5499484693787531,0.08977595675779837,0.5333333333333333
0.05,0.06,0.2,4,0.35,0.5759556407756707,0.15217833616993048,0.5303021399246916,0.09096071615241252,0.5333333333333333
0.05,0.06,0.25,2,0.25,-0.9584318058091321,-0.23313385180385138,-0.8884916502679767,0.13521688501520168,0.5
0.05,0.06,0.25,2,0.3,-0.9283917320056317,-0.23111150802320246,-0.859058279598671,0.1376281994436246,0.5
0.05,0.06,0.25,2,0.35,-0.9493413703609962,-0.2367076865758545,-0.8783290643882399,0.13762819944362426,0.5
0.05,0.06,0.25,3,0.25,-1.580453830241156,-0.42822006733624396,-1.4519878100402828,0.17408930079407103,0.4777777777777778
0.05,0.06,0.25,3,0.3,-1.5461056501633903,-0.4465234809154712,-1.412148605888749,0.18389609767401804,0.4777777777777778
0.05,0.06,0.25,3,0.35,-1.5419505678827252,-0.45622851030453837,-1.4050820147913636,0.18788109963310418,0.4777777777777778
0.05,0.06,0.25,4,0.25,0.02110357600908339,0.0058080502630291075,0.01936116093017466,0.1217524173586979,0.4888888888888889
0.05,0.06,0.25,4,0.3,-0.04499495739140231,-0.013213714711492353,-0.041030842977954604,0.12925050998284515,0.4888888888888889
0.05,0.06,0.25,4,0.35,-0.03286257692050428,-0.009987474914082917,-0.029866334446279404,0.13211120887626404,0.4888888888888889
0.05,0.06,0.3,2,0.25,-0.9610723152509824,-0.253980668431811,-0.8848781147214391,0.14402322624176622,0.5
0.05,0.06,0.3,2,0.3,-1.1335079503875574,-0.3188082749637031,-1.0378654678984465,0.1658173294831714,0.5
0.05,0.06,0.3,2,0.35,-1.1326220364811304,-0.3239298277725121,-1.0354430881493768,0.16901613464036502,0.5
0.05,0.06,0.3,3,0.25,-1.7572978549597205,-0.5042102787883143,-1.6060347713232261,0.19954637788222196,0.45555555555555555
